Category,Subcategory,Feature/Component,Description,Location,Priority,Test Type,Test Method,Notes,Implementation Time,Current Status %
Authentication,Login Flow,JWT Token Generation,POST /api/auth/login returns JWT token on valid credentials,Admin Backend,P0,AUTO,pytest: POST /api/auth/login returns valid JWT,Fully implemented with bcrypt hashing,,100%
Authentication,Login Flow,Login Form UI,Email/password form with validation,Admin Frontend,P0,AUTO,"Playwright: fill form, submit, verify redirect",Working with validation,,100%
Authentication,Login Flow,Token Storage,JWT stored in localStorage with expiration tracking,Admin Frontend,P0,AUTO,Playwright: check localStorage after login,localStorage with expiration tracking,,100%
Authentication,Login Flow,Auto-redirect on Login,Redirect to dashboard after successful login,Admin Frontend,P0,AUTO,Playwright: verify URL change after login,Redirects to dashboard,,100%
Authentication,Logout,Token Removal,Clear JWT from storage on logout,Admin Frontend,P0,AUTO,Playwright: verify localStorage cleared on logout,Clears on logout,,100%
Authentication,Logout,Redirect to Login,Navigate to login page after logout,Admin Frontend,P0,AUTO,Playwright: verify URL after logout,Working,,100%
Authentication,Session,Token Expiration Check,Validate token expiration before API calls,Admin Frontend,P0,AUTO,"pytest: mock expired token, verify rejection",Validates before API calls,,100%
Authentication,Session,Auto-logout on 401,Automatically logout when API returns 401,Admin Frontend,P0,AUTO,"Playwright: mock 401 response, verify redirect",Automatically handles,,100%
Authentication,Session,Get Current User,GET /api/auth/me returns current user info,Admin Backend,P0,AUTO,pytest: GET /api/auth/me with valid token,/api/auth/me endpoint working,,100%
Authentication,Password,Bcrypt Hashing,Passwords hashed with bcrypt before storage,Admin Backend,P0,AUTO,pytest: verify password hash format,Industry-standard implementation,,100%
Authentication,Password,Password Reset,Allow users to reset password,Admin Backend,P2,AUTO,pytest: test reset flow when implemented,Not implemented - requires email service,,0%
Authorization,Roles,Admin Role,Full access to all features,Admin Backend,P0,AUTO,pytest: verify admin can access all endpoints,Fully implemented,,100%
Authorization,Roles,Editor Role,"Create/update POIs, manage images, no delete",Admin Backend,P0,AUTO,pytest: verify editor permissions,"DB field exists, no endpoint enforcement",,60%
Authorization,Roles,Viewer Role,Read-only access to all data,Admin Backend,P0,AUTO,pytest: verify viewer is read-only,"DB field exists, no endpoint enforcement",,60%
Authorization,Permissions,Permission Decorator,require_permission() decorator on endpoints,Admin Backend,P0,AUTO,pytest: test decorator blocks unauthorized,"Basic auth only, no RBAC enforcement",,25%
Authorization,Permissions,Frontend Role Check,useAuth() hook for permission checks,Admin Frontend,P0,AUTO,Playwright: verify UI elements per role,"useAuth exists, no granular checks",,25%
Authorization,Permissions,Protected Routes,Routes require authentication to access,Admin Frontend,P0,AUTO,Playwright: verify redirect when not authenticated,Working,,100%
POI Management,Create,Create POI Endpoint,POST /api/pois/ creates new POI,Admin Backend,P0,AUTO,pytest: POST /api/pois/ with valid data,POST /api/pois/ working,,100%
POI Management,Create,Create POI Form,Multi-section accordion form for POI creation,Admin Frontend,P0,HYBRID,Playwright: fill form | Manual: verify UX flow,Multi-section form implemented,,90%
POI Management,Create,Type Selection,"Select POI type (Business, Park, Trail, Event, etc.)",Admin Frontend,P0,AUTO,"Playwright: select each type, verify form changes",9 POI types supported,,100%
POI Management,Create,Auto-save,Automatically save form changes,Admin Frontend,P1,AUTO,"Playwright: type, wait, verify API call made",Implemented but may cause issues (NN-4),,80%
POI Management,Read,Get POI by ID,GET /api/pois/{id} returns POI details,Admin Backend,P0,AUTO,pytest: GET /api/pois/{id},Working,,100%
POI Management,Read,Get POI by Slug,GET /api/pois/by-slug/{slug} returns POI,App Backend,P0,AUTO,pytest: GET /api/pois/by-slug/{slug},Working with redirects,,100%
POI Management,Read,List POIs (Admin),GET /api/admin/pois/ includes drafts,Admin Backend,P0,AUTO,pytest: verify drafts included in response,Includes drafts,,100%
POI Management,Read,List POIs (Public),GET /api/pois/ only published POIs,App Backend,P0,AUTO,pytest: verify only published returned,Filters to published only,,100%
POI Management,Read,POI List Table,"Sortable, searchable table of all POIs",Admin Frontend,P0,HYBRID,Playwright: sort/filter | Manual: verify display,"Sortable, searchable",,100%
POI Management,Update,Update POI Endpoint,PUT /api/pois/{id} updates POI,Admin Backend,P0,AUTO,pytest: PUT /api/pois/{id},NN-55: HTTP 422 errors reported,,70%
POI Management,Update,Update POI Form,Pre-populated form with existing data,Admin Frontend,P0,HYBRID,Playwright: edit fields | Manual: verify pre-population,Pre-populated form working,,90%
POI Management,Update,Partial Updates,Only send changed fields,Admin Frontend,P1,AUTO,pytest: PATCH with subset of fields,Schema validation may be too strict,,70%
POI Management,Delete,Delete POI Endpoint,DELETE /api/pois/{id} removes POI,Admin Backend,P0,AUTO,pytest: DELETE /api/pois/{id},Working,,100%
POI Management,Delete,Delete Confirmation,Confirm dialog before deletion,Admin Frontend,P0,AUTO,Playwright: verify modal appears,Dialog implemented,,100%
POI Management,Publication,Draft Status,POIs created as drafts by default,Admin Backend,P0,AUTO,pytest: verify new POI has draft status,Default status working,,100%
POI Management,Publication,Publish POI,Change status from draft to published,Admin Backend,P0,AUTO,pytest: verify status change endpoint,Status change working,,100%
POI Management,Publication,Publication Filter,Public endpoints filter by published only,App Backend,P0,AUTO,pytest: public endpoint excludes drafts,Filters by published,,100%
POI Management,Publication,Status Badge,Show draft/published status in admin list,Admin Frontend,P0,AUTO,Playwright: verify badge text matches status,Shows in admin list,,100%
POI Management,Slugs,Auto-generate Slug,Generate slug from name + city,Admin Backend,P0,AUTO,"pytest: create POI, verify slug format",From name + city,,100%
POI Management,Slugs,Unique Slug Enforcement,Append number if slug exists,Admin Backend,P0,AUTO,"pytest: create duplicate, verify suffix",Appends number if exists,,100%
POI Management,Slugs,SEO-friendly URLs,Use slugs in public URLs,App Frontend,P0,AUTO,"Playwright: navigate, verify URL pattern","/places/, /parks/, /trails/, /events/",,100%
POI Types,Business,Business Subtype Table,Separate table for business-specific fields,Database,P0,AUTO,pytest: verify table schema exists,25+ fields in businesses table,,100%
POI Types,Business,Price Range,"price_range field (e.g., $, $$, $$$)",Admin Backend,P0,AUTO,pytest: save/retrieve price_range,$/$$/$$$/$$$ validated as Literal,,100%
POI Types,Business,Business Hours,Regular operating hours,Admin Backend,P0,AUTO,Playwright: verify hours section,Shows hours but toggle broken (NN-36),,80%
POI Types,Business,Business Amenities,"WiFi, parking, restrooms, etc.",Admin Backend,P0,AUTO,pytest: verify amenities fields,"business_amenities, entertainment_options, youth_amenities JSONB",,100%
POI Types,Business,Business Detail Page,BusinessDetail.jsx component,App Frontend,P0,HYBRID,Playwright: sections exist | Manual: design review,"BusinessDetail.jsx comprehensive - price, hours, WiFi, menu, restrooms",,100%
POI Types,Business,Key Facilities Display,"Show restrooms, wheelchair, WiFi, pet-friendly",App Frontend,P0,AUTO,Playwright: verify icons render,"Icons working for restrooms, wheelchair, WiFi, pet-friendly",,85%
POI Types,Park,Park Subtype Table,Separate table for park-specific fields,Database,P0,AUTO,pytest: verify table exists,18+ fields in parks table,,100%
POI Types,Park,Drone Policy,drones_allowed field,Admin Backend,P1,AUTO,pytest: save/retrieve drone policy,drone_usage_policy field in Park subtype,,100%
POI Types,Park,Park Facilities,"Playgrounds, pavilions, trails",Admin Backend,P0,AUTO,pytest: verify facilities JSONB,Implemented via facilities JSONB,,100%
POI Types,Park,Natural Features,"Lakes, forests, fields",Admin Backend,P1,AUTO,pytest: verify array field,natural_features JSONB array working,,100%
POI Types,Park,Park Detail Page,ParkDetail.jsx component,App Frontend,P0,HYBRID,Playwright: sections | Manual: design,"ParkDetail.jsx - hours, parking, playground. Missing hunting/fishing display",,80%
POI Types,Park,Playground Info,"Playground type, surface, notes",Admin Backend,P0,AUTO,pytest: verify playground fields,"playground_available, types, surface_types. NN-57: Missing lat/long",,75%
POI Types,Park,Playground Duplicates,Add multiple playgrounds per park,Admin Backend,P1,AUTO,"Playwright: click add, verify section",NN-57: No duplicate button implemented,,0%
POI Types,Trail,Trail Subtype Table,Separate table for trail-specific fields,Database,P0,AUTO,pytest: verify table exists,20+ fields in trails table,,100%
POI Types,Trail,Trail Length,length_miles field,Admin Backend,P0,AUTO,pytest: save/retrieve length,length_text with multi-segment support,,100%
POI Types,Trail,Trail Difficulty,"Easy, Moderate, Hard",Admin Backend,P0,AUTO,pytest: verify difficulty enum,difficulty with auto-populated difficulty_description,,100%
POI Types,Trail,Route Type,"Loop, out-and-back, point-to-point",Admin Backend,P0,AUTO,pytest: verify route_type values,"Loop, out-and-back, point-to-point supported",,100%
POI Types,Trail,Surface Types,"Dirt, gravel, asphalt, etc.",Admin Backend,P0,AUTO,Playwright: verify surfaces,Trail surfaces displayed,,100%
POI Types,Trail,Trailhead Coordinates,Lat/long for trail start,Admin Backend,P0,AUTO,pytest: verify lat/long fields,trailhead_latitude/longitude fields,,100%
POI Types,Trail,Trail Exit Coordinates,Lat/long for trail end,Admin Backend,P0,AUTO,pytest: verify lat/long fields,trail_exit_latitude/longitude fields,,100%
POI Types,Trail,Trailhead Photos,Upload photos of trailhead,Admin Backend,P0,AUTO,"pytest: upload, verify type","NN-57: Need 10 images, currently limited to 1",,50%
POI Types,Trail,Trail Exit Photos,Upload photos of trail exit,Admin Backend,P0,AUTO,pytest: upload trail_exit,1 max (need 10 per NN-57),,100%
POI Types,Trail,Trail Detail Page,TrailDetail.jsx component,App Frontend,P0,HYBRID,Playwright: elements | Manual: layout,"TrailDetail.jsx excellent - length, difficulty, surfaces, address",,90%
POI Types,Trail,Downloadable Maps,PDF map uploads,Admin Backend,P1,AUTO,pytest: upload PDF,"5 max, 50MB each, PDF support",,100%
POI Types,Event,Event Subtype Table,Separate table for event-specific fields,Database,P0,AUTO,pytest: verify table exists,22+ fields in events table,,100%
POI Types,Event,Start DateTime,Event start date and time,Admin Backend,P0,AUTO,pytest: verify timestamp saves,start_datetime TIMESTAMP field,,100%
POI Types,Event,End DateTime,Event end date and time,Admin Backend,P0,AUTO,pytest: verify timestamp saves,end_datetime TIMESTAMP field,,100%
POI Types,Event,Repeat Pattern,"Recurring event pattern (weekly, monthly)",Admin Backend,P1,AUTO,pytest: verify JSONB pattern,is_repeating boolean + repeat_pattern JSONB,,100%
POI Types,Event,Organizer Info,"Name, email, phone of organizer",Admin Backend,P0,AUTO,Playwright: verify organizer,Organizer name displayed,,100%
POI Types,Event,Venue Selection,Link event to venue POI,Admin Backend,P0,AUTO,Playwright: select venue,VenueSelector component exists but incomplete,,80%
POI Types,Event,Venue Data Inheritance,"Pull address, parking, etc. from venue",Admin Backend,P1,AUTO,pytest: verify venue data,NOT IMPLEMENTED,,0%
POI Types,Event,Ticket URL,Link to buy tickets,Admin Backend,P0,AUTO,pytest: verify URL saves,ticket_url field working,,100%
POI Types,Event,Is Free,Boolean flag for free events,Admin Backend,P0,AUTO,pytest: verify boolean,is_free boolean field,,100%
POI Types,Event,Vendor Management,List of vendors at event,Admin Backend,P1,AUTO,pytest: add vendors,"has_vendors, vendor_types, vendor_fee fields exist. Display incomplete",,80%
POI Types,Event,Event Detail Page,EventDetail.jsx component,App Frontend,P0,HYBRID,Playwright: sections | Manual: design,"EventDetail.jsx functional but missing vendor info, venue settings, repeat pattern display",,70%
POI Types,Event,Past Event Exclusion,Hide events after end date in Nearby,App Backend,P0,AUTO,"pytest: create past event, verify filtered",Automatically filters past events in Nearby,,100%
POI Types,Event,Events Page,List of all events,App Frontend,P0,AUTO,"Playwright: navigate, verify renders",NN-57: Blank white screen - form doesn't render,,0%
POI Types,Services,Services POI Type,Service provider listings,Admin Backend,P2,AUTO,pytest: create service POI,"Enum defined, no subtype table, no form, uses GenericDetail",,15%
POI Types,Youth Activities,Youth Activities POI Type,Youth programs and activities,Admin Backend,P2,AUTO,pytest: create youth POI,"Enum + youth_amenities field, no dedicated form/detail",,25%
POI Types,Jobs,Jobs POI Type,Job listings,Admin Backend,P3,AUTO,pytest: create job POI,"Enum only - no model, form, or detail page",,5%
POI Types,Volunteer,Volunteer Opportunities Type,Volunteer positions,Admin Backend,P3,AUTO,pytest: create volunteer POI,Enum only - no infrastructure,,5%
POI Types,Disaster Hubs,Disaster Hubs POI Type,Emergency resources,Admin Backend,P2,AUTO,pytest: create disaster POI,"is_disaster_hub, emergency_protocols fields. No dedicated detail page",,35%
POI Form,Core Information,Name Field,POI name input,Admin Frontend,P0,AUTO,"Playwright: type, verify saves",Working,,100%
POI Form,Core Information,Type Selection,POI type dropdown,Admin Frontend,P0,AUTO,"Playwright: select each type, verify form changes",9 POI types supported,,100%
POI Form,Core Information,Teaser Paragraph,Short description (120 chars),Admin Frontend,P0,AUTO,Playwright: verify char limit,NN-57: Need 120 char limit with live counter,,80%
POI Form,Core Information,Primary Type,Primary business type selection,Admin Frontend,P0,AUTO,"Playwright: select, verify",Selection working,,100%
POI Form,Core Information,Listing Type,"Free, Paid, Sponsor, etc.",Admin Frontend,P0,AUTO,Playwright: select each option,Free/Paid/Paid Founding/Sponsor/Community Comped,,100%
POI Form,Core Information,Lat/Long Accuracy Flag,Mark if coordinates are most accurate,Admin Frontend,P1,AUTO,"Playwright: click, verify state",NN-57: Need 'most accurate' button,,0%
POI Form,Location,Street Address,Street address input,Admin Frontend,P0,AUTO,Playwright: type address,Working,,100%
POI Form,Location,City,City input,Admin Frontend,P0,AUTO,Playwright: type/select city,NN-38: Should be dropdown for Chatham County cities,,80%
POI Form,Location,State,State input,Admin Frontend,P0,AUTO,Playwright: verify default,NN-38: Should default to NC,,80%
POI Form,Location,Zip Code,Zip code input,Admin Frontend,P0,AUTO,"Playwright: type, verify format",Working,,100%
POI Form,Location,County,County input,Admin Frontend,P0,AUTO,Playwright: verify default,NN-38: Should default to Chatham,,80%
POI Form,Location,Coordinates Picker,Map click to set lat/long,Admin Frontend,P0,AUTO,"Playwright: click map, verify coords",Map click to set lat/long working,,100%
POI Form,Location,Map Zoom Level,Adjust default zoom for easier use,Admin Frontend,P1,MANUAL,Manual: verify zoom is usable,NN-38: Improved but still needs tuning,,70%
POI Form,Location,Address Autocomplete,Suggest addresses as user types,Admin Frontend,P2,AUTO,"Playwright: type, verify suggestions",NOT IMPLEMENTED,,0%
POI Form,Location,Front Door Coordinates,Separate lat/long for entrance,Admin Frontend,P0,AUTO,Playwright: verify fields update,Separate lat/long fields working,,100%
POI Form,Parking,Parking Types,Multi-select parking options,Admin Frontend,P0,AUTO,Playwright: select multiple,Multi-select checkboxes working,,100%
POI Form,Parking,Parking Notes,Text field for parking details,Admin Frontend,P0,AUTO,"Playwright: type, verify saves",NN-57: Missing on free listings,,70%
POI Form,Parking,Parking Lat/Long,Coordinates for parking lot,Admin Frontend,P0,AUTO,pytest: verify fields,MISSING field,,0%
POI Form,Parking,Parking Photos,Upload parking area photos,Admin Frontend,P0,AUTO,pytest: upload parking photo,"5 max, parking type",,100%
POI Form,Parking,Additional Parking,Add multiple parking locations,Admin Frontend,P1,AUTO,Playwright: click add,NN-57: Goes to white screen when clicked,,0%
POI Form,Parking,Public Transit Info,Transit access details,Admin Frontend,P1,AUTO,"Playwright: type, verify",NN-57: Missing on free listings,,70%
POI Form,Parking,Expect to Pay,Parking fee indicator,Admin Frontend,P0,AUTO,Playwright: select option,NN-57: Missing on free listings,,70%
POI Form,Contact,Phone Number,Primary phone input,Admin Frontend,P0,AUTO,"Playwright: type, verify format",Working,,100%
POI Form,Contact,Email,Contact email input,Admin Frontend,P0,AUTO,"Playwright: type, verify validation",Working with validation,,100%
POI Form,Contact,Website,Website URL input,Admin Frontend,P0,AUTO,Playwright: type URL,URL input working,,100%
POI Form,Social Media,Instagram,Instagram handle/URL,Admin Frontend,P0,AUTO,Playwright: type handle,Working,,100%
POI Form,Social Media,Facebook,Facebook page URL,Admin Frontend,P0,AUTO,Playwright: type URL,Working,,100%
POI Form,Social Media,X/Twitter,Twitter/X handle,Admin Frontend,P0,AUTO,Playwright: type handle,Working,,100%
POI Form,Social Media,TikTok,TikTok handle,Admin Frontend,P1,AUTO,Playwright: type handle,Working,,100%
POI Form,Social Media,LinkedIn,LinkedIn page URL,Admin Frontend,P1,AUTO,Playwright: type URL,Working,,100%
POI Form,Categories,Main Category Selector,Select primary category (required),Admin Frontend,P0,AUTO,"Playwright: select, verify",TreeCategorySelector with hierarchy,,100%
POI Form,Categories,Secondary Categories,Select additional categories,Admin Frontend,P0,AUTO,Playwright: multi-select,Multi-select working,,100%
POI Form,Categories,Category Tree Display,Hierarchical category picker,Admin Frontend,P0,HYBRID,Playwright: expand | Manual: hierarchy,Hierarchical picker with expand/collapse,,100%
POI Form,Categories,Type-filtered Categories,Only show categories for POI type,Admin Frontend,P0,AUTO,"Playwright: change type, verify filter",Filters by POI type via applicable_to,,100%
POI Form,Categories,Business Category Limit,Limit to 1 category for free business,Admin Frontend,P0,AUTO,"Playwright: try >1, verify blocked",NN-57: Free business allows multiple (should be 1),,50%
POI Form,Hours,Regular Hours Input,Day-by-day hours picker,Admin Frontend,P0,AUTO,Playwright: set hours each day,Day-by-day picker with multiple periods,,100%
POI Form,Hours,Seasonal Hours,Hours for specific seasons,Admin Frontend,P1,AUTO,"pytest: save, verify","Backend complete, frontend partial",,90%
POI Form,Hours,Holiday Hours,Special holiday hours,Admin Frontend,P1,AUTO,"pytest: save, verify",Open/closed/modified statuses,,95%
POI Form,Hours,Recurring Exceptions,Monthly exceptions (3rd Wed closed),Admin Frontend,P2,AUTO,pytest: verify patterns,IMPLEMENTED - 3rd Wednesday patterns work,,100%
POI Form,Facilities,Public Restrooms Toggle,Are restrooms available?,Admin Frontend,P0,AUTO,"Playwright: toggle, verify",Working,,100%
POI Form,Facilities,Restroom Options,Restroom type checkboxes,Admin Frontend,P0,AUTO,Playwright: select options,Checkboxes working,,100%
POI Form,Facilities,Restroom Description,Text field for restroom details,Admin Frontend,P0,AUTO,"Playwright: type, verify",NN-57: Missing field,,0%
POI Form,Facilities,Restroom Lat/Long,Coordinates for restroom location,Admin Frontend,P0,AUTO,Playwright: enter coords,NN-57: Missing field,,0%
POI Form,Facilities,Restroom Photos,Upload restroom photos,Admin Frontend,P0,AUTO,pytest: upload restroom photo,"10 max, restroom type",,100%
POI Form,Facilities,Add Another Restroom,Duplicate restroom section,Admin Frontend,P1,AUTO,Playwright: click add,Parks only - need for Trails/Events,,50%
POI Form,Facilities,Wheelchair Accessible,Yes/No/Unknown selector,Admin Frontend,P0,AUTO,Playwright: select,Working,,100%
POI Form,Facilities,Accessibility Details,Text field for details,Admin Frontend,P0,AUTO,Playwright: type,Text field working,,100%
POI Form,Facilities,WiFi Available,Free WiFi checkbox,Admin Frontend,P0,AUTO,Playwright: toggle,Working,,100%
POI Form,Facilities,Pet Policy,Pet-friendly options,Admin Frontend,P0,AUTO,Playwright: select options,Working with options,,100%
POI Form,Facilities,Alcohol Available,Yes/No selector,Admin Frontend,P0,AUTO,Playwright: select,Working,,100%
POI Form,Facilities,Alcohol Policy Details,Text for alcohol policy,Admin Frontend,P0,AUTO,Playwright: type,NN-57: Missing description paragraph,,0%
POI Form,Outdoor Features,Drone Usage Policy,Drone rules text field,Admin Frontend,P1,AUTO,Playwright: type policy,Working for events/parks/trails,,100%
POI Form,Outdoor Features,Fishing Info,Fishing availability and details,Admin Frontend,P1,AUTO,Playwright: select options,"fishing_allowed, fishing_types working",,100%
POI Form,Outdoor Features,Hunting Info,Hunting availability and details,Admin Frontend,P1,AUTO,Playwright: select options,"hunting_allowed, hunting_types working",,100%
POI Form,Rentals,Rentals Available,Toggle for rental availability,Admin Frontend,P1,AUTO,Playwright: toggle,Toggle with conditional fields,,100%
POI Form,Rentals,Rental Description,Text field for rental details,Admin Frontend,P1,AUTO,Playwright: type,Rich text working,,100%
